geo;indicator;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
abw;males_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.9;;;;;;;;;;;;;;;;2.31;;;8.72;;;;;;;
afg;males_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.8658;;;;0.7887;;;;;
ago;males_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.583;;;;;;;3.6607;;;;;;
aia;males_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.83;;;;;;;;;;;;;;;;
alb;males_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.9114;10.9186;10.0958;10.0846;11.0141;13.1072;17.0319;16.88;14.756520000000002;;
ant;males_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.11;1.18;9.1;;;;;;;;;7.47;8.9;9.74;11.45;;11.02;;;;14.06;15.63;9.9;9.46;7.31;6.86;;8.06;;;;;;
are;males_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.73;;;1.17;;;;;;;;0.64;0.9385
arg;males_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.27;;;;;;;;;;;;;8.1426;6.6316;5.5336;;4.3612;5.5642;4.1408;4.0126;4.0825;3.281;4.6884;;;5.5929
arm;males_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.8;;15.95;15.5001;14.6399;14.71;12.3323;14.3724;16.2385;16.8758;
asm;males_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.34;;;;;;;;;;;;;;;;;;;;;;;;;;;
atg;males_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.07;;;;;;;;;;;;;;;;
aus;males_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.1209;3.1783;3.1164;4.3595;6.9302;6.1722;5.6302;5.4841;5.6631;4.758;4.1733;4.874;7.5354;8.7006;9.095;7.8603;6.9518;6.7392;6.6606;6.3327;5.5727;5.1464;5.4064;5.0638;4.5822;3.9576;3.6524;3.44;2.9508;2.9064;4.5106;3.7449;3.5716;3.7954;4.4348;4.5897;4.5612;4.0931;4.0663
aut;males_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.42;3.24;3.79;3.5;3.08;3.4;3.01;2.64;2.62;4.66;3.04;3.59;2.911;3.5972;5.1145;4.5463;4.9199;4.4779;4.1916;3.4007;4.5715;4.4608;4.7442;4.4812;4.1284;3.8447;3.3997;4.9325;4.5685;3.8916;4.3515;4.9834;5.3589;5.4522;5.7034;5.4987
aze;males_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.43;;;;;;;;5.7;4.18;3.97;2.86;3.16;3.22;3.0;3.05;3.15;3.26;3.2
bdi;males_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.66;;;;;;;;;;;;;;;;;;;;;;;;1.68;;;6.0
bel;males_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.2442;6.1148;5.9697;5.9062;6.3265;6.1874;4.6246;3.9927;3.9485;4.2504;5.0865;6.4413;6.2327;6.5669;6.1743;6.6198;6.1433;4.6214;4.832;5.4319;6.5892;5.9741;6.5714;6.5222;5.9498;5.6797;6.6843;7.1851;6.4158;6.8654;7.5456;8.1965;8.1626;7.3173;6.279
ben;males_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.18;;;;;;;;;;;;;;;;1.0;;;;;;;;0.87;2.0812;;;;;;
bfa;males_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.37;;;;;;;;3.2224;;;
bgd;males_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.41;;;0.48;;;;;;;1.33;;;;1.16;;;3.7;;;1.706;;;;2.2381;;;1.8571;;;1.83;2.0349
bgr;males_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.5845;18.4176;16.8489;13.0448;11.3017;9.1103;7.7309;5.6974;4.6557;6.0127;9.8429;11.5142;12.3963;12.571;11.3839;9.0671;7.587999999999999;5.9013
bhr;males_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.15;;;;;;;;;;2.1;;;;;;;;;0.22;0.24;0.24;;;;;
