geo;indicator;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
abw;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.3;;;7.95;;;8.37;;;7.44;7.4;;;;;;6.53;;;10.43;7.8;;;;;;
afg;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.1871;;;;3.3326;;;;;
ago;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.7;28.5;35.1;;;;;;;;;;;;;;;;;;26.133000000000003;;;;;;;7.7125;;;;;;
aia;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;48.82;;;;;;;;;;32.89;;;;;;;;;;;;;;;;;6.68;9.5;;;;;;;;;;;;;;;
alb;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.9;10.5;28.3;24.2;19.9;14.8;13.6;16.6;20.9;21.4;19.3;19.9;19.1;18.2;17.5;17.2;16.8;16.4307;13.7219;15.6435;15.8438;13.7531;11.4894;13.4358;;17.1;;
ant;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.14;16.14;31.4;;29.55;26.42;;;18.0;16.3;15.0;17.03;18.12;18.41;19.08;;16.2;;17.14;17.12;17.0;19.15;17.72;14.48;12.44;11.22;;11.01;;15.38;;;;
are;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.51;;;;;;;;;;2.05;;;;;;;;;;2.35;;;;;2.71;;;;;7.06;;;11.96;10.804260000000001;;;;;;;4.02045;6.8072
arg;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.4;4.8;4.19;;;6.6;7.2;7.8;6.93;8.09;6.73;12.7;14.06;22.3;19.31;17.8;14.11;15.18;16.38;17.19;18.83;17.48;15.7447;13.5213;12.3408;;9.6801;9.8313;8.5442;8.4974;9.5165;8.7118;8.2095;;;9.4463
arm;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.4;7.4;8.5;10.4;15.2;17.4;13.3;15.0;;;;;;;;34.98;;19.85;21.2336;24.57;18.1704;18.0706;19.3824;19.2274;17.487000000000002;17.4635
asm;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.79;;;;;;;;;;6.01;;;;;;;;;;;;;;;;;
atg;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;28.26;26.99;27.4;26.46;;;;;;;;;;;;;;;;;;;;;;;;;8.78;;;;;;;;;;;;;;;;
aus;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.1903;7.8632;7.4302;8.5254;10.3694;9.4769;8.7628;8.7067;8.6247;7.8992;6.8413;7.1922;9.1495;9.9276;9.9974;9.3612;8.1053;8.2359;8.071;7.3281;6.6584;6.0617;6.4453;6.1624;5.9785;5.5354;5.22;4.9217;4.7841;4.5704;5.401;5.3755;5.3041;5.3260000000000005;5.6104;6.1721;6.0722;5.7795;5.6685
aut;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;4.0;3.8;2.4;2.3;2.1;2.2;2.8;2.7;2.5;2.6;2.5;2.3;2.7;3.5;4.1;4.3;4.7;5.2;4.05;3.99;3.58;3.57;6.9;3.77;4.5;3.964;4.8968;5.2057;5.271;5.5933;4.7556;4.595;4.1264;4.53;4.3402;5.8924;5.8571;5.6014;5.2993;4.4098;5.0863;4.63;4.5839;4.7865;5.2944;5.382999999999999;5.3101;5.5443;5.033
aze;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.16;0.23;0.72;0.87;1.0;1.1;1.24;1.35;18.63;1.4;1.5;1.5;1.5;1.5;1.5;1.3;1.2;1.0;;;;;;;5.87;6.0;5.9
bdi;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.26;;;;;;;;;13.2;;;;;;;;;;;;;;;1.17;;;21.0
bel;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;2.7;3.3;3.9;4.7;7.7;10.5;10.8;13.1;12.76;15.0;18.0;18.6;17.7958;18.2837;17.8392;17.9313;17.5998;15.1772;12.9925;11.4274;10.6411;9.4974;10.8152;12.4312;12.217;12.4104;11.5471;11.7021;10.2135;8.279;6.9211;7.7971;7.9952;8.2795;9.5068;9.3087;8.4434;7.5973;8.1055;8.5155;7.1798;7.4096;8.1705;7.9411;7.7692;7.5609;7.053999999999999
ben;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.15;;;;;;0.59;;;;;;;;;;0.43;;;;;;;;1.14;2.8591;;;;;;
bfa;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6;;;;;;;;;;;;;2.58;;;;;;;;1.66;3.9;;;;;;;9.2588;;;
bgd;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.27;6.96;2.84;;;0.86;;2.1;;;;;2.19;;;;3.32;;;4.85;;7.03;6.44;;;7.4;4.3583;;;7.414;;;7.29;6.6809
bgr;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.5;11.8;14.1;15.8155;18.8612;17.3609;13.1947;11.6235;9.8353;9.2963;7.2863;5.7579;6.6244;9.6078;10.1075;10.8404;11.8446;10.4043;8.417;6.9685;5.9459
bhr;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.5;;;;;;;;;;11.81;;;;;;;;;;10.49;;;20.0;;;;;;3.68;;3.88;;;;;
bhs;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;12.3;;27.04;;25.67;;21.15;;;;;;;14.92;;14.2;12.39;7.88;12.1;15.95;13.03;15.22;11.72;14.67;11.34;9.97;9.72;;7.02;;11.84;;11.18;8.02;9.07;9.25;14.04;;15.31;13.97;16.26;;;;
bih;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.6;;;;;;;;;;;;;;;34.79;32.72;26.5;25.7;29.95;29.86;30.79;28.94;31.17;32.18;31.25;5.5
blr;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.07;0.8;1.8;2.6;3.5;5.0;3.6;3.0;2.6;2.4;2.6;3.5;3.9;2.4;2.0;1.5;1.2;0.9;4.6;;0.6;0.5;0.4;0.4;0.7;4.19;
blz;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.16;15.55;17.86;18.63;20.35;21.33;20.33;;15.37;15.31;;;17.06;15.09;13.01;;;;;22.326;20.8156;19.9148;15.06;13.62;14.5774
bmu;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.28;;;;;;;;;3.01;5.97;;8.17;5.56;8.05;;;
bol;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.83;11.54;12.6;11.59;9.94;7.41;7.12;1.23;5.26;2.84;4.09;5.53;2.03;;4.59;5.58;6.4;6.8;;4.88;5.978;5.2645;5.744;3.3543;3.4352;;2.6573;2.7634;2.949;2.8163;3.7785;4.0178;3.8171
bra;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.9;2.76;2.8;2.76;;4.16;5.09;4.63;4.4;3.86;2.71;3.95;4.25;2.97;3.45;;7.95;7.34;;8.0687;9.5015;10.8042;12.5187;13.249;;12.1438;11.7904;12.5917;11.9007;12.4563;11.2955;11.0578;9.8769;11.2827;8.5148;9.3615;9.0239;8.7397;8.0914;10.0341;13.4388;14.6889
brb;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.12;17.8;15.86;12.47;11.31;9.52;10.41;11.24;22.07;24.2;22.97;23.27;23.34;18.73;10.44;21.7781;26.0887;27.7276;27.91;23.1991;17.65;17.8384;16.2425;13.2259;11.47;11.8548;12.026;12.5618;10.4635;10.7703;9.8355;8.4507;9.4508;9.89;10.47;12.6408;12.2597;11.7227;12.78;10.32;10.01;
brn;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.631;27.114;25.925;24.980999999999998;22.261999999999997;;;;;;;;6.7;;;;;;;;;;;;;;;;;;;;2.37;;;7.8799;;;9.9581
btn;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.4;1.6;;3.2;;;3.34;3.29;3.81;;;5.35;3.97;4.54;2.2;3.7;3.49;3.15;;
bwa;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.82;;;;;;17.18;;;23.8;;23.95;;23.57;;17.25;22.15;;26.3;;;20.02;;;19.5971;21.43;;;;;;;
can;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;4.5;5.1;5.3;5.1;4.9;8.1;8.2059;9.1707;9.5466;8.6924;8.3288;8.2561;10.7433;11.5626;11.3092;10.5692;9.7568;9.2043;8.1902;7.7674;8.0913;9.69;10.1922;10.6769;9.7962;9.1147;9.2883;8.9185;7.9867;7.2933;6.6947;6.8562;7.1249;7.1577;6.8529;6.4647;6.0925;5.6495;5.6515;7.0123;7.237;7.0092;6.8219;6.5973;6.3904;6.2859;6.2401;5.8502
che;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;0.6;0.4;0.4;0.4;0.3;0.2;0.6;0.9;1.4;1.2;1.1;1.1;1.0;0.8;2.62;2.517;3.53;4.5680000000000005;4.421;3.9189999999999996;4.084;3.9886;4.1352;3.5688;3.1305;3.458;3.0964;4.487;4.7641;5.0916;4.7095;4.5137;3.9666;4.5202;5.1886;4.8001;4.729;4.9178;4.9857;4.9125;5.0063;5.0581
chl;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.27;13.08;16.3;14.03;10.07;9.96;18.25;14.69;15.9;;9.65;;7.75;6.04;9.5694;;7.5059;;8.5385;9.5195;9.994;9.588;9.341000000000001;13.100999999999999;12.481;11.931;11.807;12.03;13.013;12.277999999999999;11.755999999999998;10.883;12.130999999999998;13.42;9.9182;8.8703;8.1335;7.1794;7.1255;7.14;7.2664;7.4608
civ;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.9;;;;;;;;;;;;;;7.329;5.1078;;;3.3607;
cmr;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.5;;;;;6.7;;;;4.6;;3.4946;;;4.88;;;;4.0268;;;
cod;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.1967;;;;;;;3.6186;;;;;
cog;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.0103;;;;18.3;;;10.8;;;;;
cok;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.25;;;;;;;;;;14.84;;;;;9.43;;;;;8.11;;;;;;
col;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.87;;11.9;;;11.5;;;14.22;16.27;18.65;17.16;14.48;;;;13.53;13.01;5.17;12.3;11.32;14.94;15.1;18.03;23.31;24.47;19.404;20.011;18.645;18.021;15.884;16.1681;14.812000000000001;14.767000000000001;15.839;14.1989;13.1028;12.6632;11.6709;11.0277;10.8444;11.2055;11.5126
com;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.94;;;;;;;;;;;;;4.8901;;;;;;;;;;;;;
cpv;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.58;;;;;;;;;;;;;;;;;;;;;;;;;39.7268;;
cri;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.4;;;;;;;;;5.709;7.056;5.275;4.973;5.547999999999999;6.49;8.215;7.319;7.524;7.858;6.645;7.39;7.763999999999999;7.997000000000001;8.299;9.335;8.373;6.775;5.88;9.603;9.0456;12.7583;11.6324;10.4172;11.264000000000001;11.1719;10.8579;10.3178
cub;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.99;12.29;11.16;9.38;9.64;8.26;5.76;4.63;3.4;2.21;2.21;2.22;1.87;1.97;1.99;2.71;3.51;3.62;3.55;3.1;;;
cym;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.67;;;;;;;;;;;;;4.39;;2.81;4.2;4.12;4.99;5.79;5.47;5.31;5.84;4.65;5.2;;
cyp;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;7.4;10.5;5.3;3.1;2.6;2.4;2.6;2.9;4.5;4.1;4.1;4.2;5.0;4.7;3.8;3.3;2.5;4.4;2.23;4.1;3.9;3.7;4.3;4.5;4.2;7.9;7.3303;5.7218;4.1704;4.5796;5.4244;6.4823;5.4013;4.5762;4.2411;5.4682;6.4149;7.6328;11.0524;15.159;15.0637;14.772;13.3178;11.2617
cze;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8;2.07;3.0;5.443;5.193;4.8069999999999995;4.662;5.121;7.5493;10.1211;10.5279;9.6052;8.552999999999999;9.6389;9.6509;9.7928;8.8453;6.7379;5.6122;7.7299;8.4553;7.8937;8.2054;8.287;7.394;6.0743;4.6706;3.5799
deu;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.5337;8.242;8.4682;8.2338;7.9199;7.9023;7.472;6.119;6.5251;8.2263;9.3198;10.3158;9.6285;9.5933;10.5914;10.439;9.2353;8.2714;7.7796;8.2141;9.2819;10.0773;10.8881;10.1736;8.7947;7.6483;7.3109;6.4973;5.5816;5.1774;4.9156;4.6308;4.2209;3.741;3.3144
dma;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.25;;10.01;;;;;;27.29;;19.42;;9.45;;;;;;;;;;;;;;;;
dnk;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;1.5;3.9;5.0;6.9;8.3;7.4;7.6;9.2;10.0;10.4492;10.1573;9.4893;7.7683;7.1326;7.3161;8.9041;8.9231;10.0177;9.865;11.0844;8.9994;8.6464;8.3959;6.4406;6.4023;5.8984;4.9711;4.7816;4.3178;5.7495;5.4391;5.2775;4.534;4.1987;3.7347;5.3143;6.4639;7.4658;7.5456;7.2721;6.8195;6.4444;6.6402;5.9363
dom;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.09;28.6;23.78;24.93;23.816999999999997;26.0009;15.84;26.48;30.7033;9.7115;8.863999999999999;7.5607;7.3701;7.8877;7.0395;8.3491;9.2079;10.5229;9.6861;10.8361;10.6541;
dza;females_aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.14;20.71;22.75;;;;;;26.17;;;29.72;;;25.44;18.19;;;;;18.1;19.1;;16.99;16.3;15.582;16.566;18.2473;20.6159
