geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
afg;males_aged_65plus_labour_force_participation_rate_percent;43.677;43.886;44.089;44.326;44.567;44.77;44.983000000000004;45.119;45.17100000000001;45.167;45.148999999999994;45.242;45.203;45.055;44.79600000000001;44.412;44.316;44.177;44.047;43.99100000000001;44.053000000000004;44.175;44.243;44.229;44.097;43.824;43.582;43.51;43.438;43.367;43.295;43.224;43.152;43.08;43.00899999999999;42.937;42.86600000000001;42.794;42.722;42.651;42.57899999999999
ago;males_aged_65plus_labour_force_participation_rate_percent;81.90899999999999;82.15799999999999;82.60600000000001;83.90299999999999;83.814;83.429;83.1;82.86200000000001;82.639;82.552;82.479;82.447;82.898;82.79899999999999;82.464;81.825;81.158;80.37100000000001;79.91;79.95100000000001;79.932;79.94;79.85300000000001;79.658;79.532;79.468;79.571;79.374;79.17699999999999;78.98;78.783;78.587;78.39;78.193;77.99600000000001;77.79899999999999;77.602;77.405;77.208;77.01100000000001;76.814
alb;males_aged_65plus_labour_force_participation_rate_percent;33.173;41.61600000000001;43.531000000000006;40.828;38.586;35.397;33.292;35.751999999999995;33.641;30.835;29.441999999999997;27.848000000000003;27.06;22.493000000000002;18.502;15.081;12.198;9.802;7.835;6.526;6.95;11.152999999999999;17.421;13.922;12.6;12.22;11.984000000000002;11.408;10.831;10.254000000000001;9.677;9.1;8.523;7.947;7.37;6.792999999999999;6.216;5.638999999999999;5.063;4.486000000000001;3.909
are;males_aged_65plus_labour_force_participation_rate_percent;20.804000000000002;22.271;22.964000000000002;24.334;23.775;23.230999999999998;22.976;22.041;23.68;24.548000000000002;22.93;24.285999999999998;25.326999999999998;24.673000000000002;24.701999999999998;27.37;25.976;24.629;23.33;28.296;30.268;30.163;28.844;27.693;26.908;26.015;25.572;25.916999999999998;26.261;26.605999999999998;26.951;27.295;27.64;27.984;28.329;28.674;29.018;29.363000000000003;29.708000000000002;30.052;30.397
arg;males_aged_65plus_labour_force_participation_rate_percent;25.607;25.706999999999997;25.801;25.843000000000004;25.885;25.846;25.885;25.949;25.974;25.930999999999997;25.912;25.859;25.738000000000003;25.808000000000003;25.88;27.592;27.396;25.651;23.98;24.079;22.64;24.153000000000002;22.581;22.965999999999998;24.708000000000002;24.721999999999998;24.691999999999997;24.461;24.23;23.998;23.767;23.535999999999998;23.305;23.074;22.843000000000004;22.612;22.38;22.149;21.918000000000003;21.686999999999998;21.456
arm;males_aged_65plus_labour_force_participation_rate_percent;36.374;36.374;36.374;36.374;36.374;36.374;36.374;36.374;36.374;36.374;36.374;36.374;36.374;36.374;36.374;36.374;36.374;36.374;35.14;37.746;37.341;36.558;35.419000000000004;34.949;34.436;34.012;34.022;33.979;33.935;33.891;33.848;33.804;33.76;33.716;33.673;33.629;33.585;33.541;33.498000000000005;33.454;33.41
aus;males_aged_65plus_labour_force_participation_rate_percent;9.17;8.82;9.05;8.1;9.04;9.37;9.3;9.76;9.68;9.28;9.87;9.89;10.2;10.11;10.28;11.35;12.21;13.43;14.14;15.26;15.44;16.11;16.88;16.82;16.94;16.38;16.58;16.833;17.086;17.339000000000002;17.592;17.845;18.098;18.351;18.604;18.857;19.11;19.363;19.616;19.869;20.122
aut;males_aged_65plus_labour_force_participation_rate_percent;3.3;3.0;3.6;4.2;6.33;6.12;5.33;4.41;4.51;4.18;4.73;4.38;4.21;3.68;3.53;4.66;5.1;6.74;7.26;7.88;7.45;7.03;6.89;7.37;7.6;7.47;7.02;7.2589999999999995;7.497999999999999;7.736000000000001;7.975;8.214;8.453;8.692;8.93;9.169;9.408;9.647;9.886000000000001;10.124;10.363
aze;males_aged_65plus_labour_force_participation_rate_percent;11.139000000000001;11.3;13.475;16.218;18.99;20.848000000000003;20.808000000000003;20.156;19.012;18.22;16.88;15.62;14.437999999999999;13.331;12.297;11.332;10.434000000000001;9.6;9.519;9.437999999999999;9.357999999999999;9.279;9.2;7.1;6.0;7.4;7.4;7.074;6.747999999999999;6.422000000000001;6.097;5.771;5.445;5.119;4.793;4.467;4.141;3.815;3.49;3.1639999999999997;2.838
bdi;males_aged_65plus_labour_force_participation_rate_percent;78.79;77.691;76.55199999999999;75.373;74.155;72.899;71.604;70.274;68.907;68.824;68.741;68.658;68.574;68.491;68.407;68.32300000000001;68.23899999999999;68.155;68.071;67.986;67.902;67.817;67.733;67.648;67.563;68.143;68.51;68.399;68.288;68.17699999999999;68.065;67.954;67.843;67.732;67.62100000000001;67.509;67.398;67.28699999999999;67.176;67.065;66.953
